sbj_id,acc_x,acc_y,acc_z,label
2,-0.07031,0.38208,-0.70532,day_0
2,-0.00757,-0.14087,0.146,day_0
2,0.2229,0.0127,0.36597,day_0
2,0.43799,0.09863,0.16577,day_0
2,0.07642,0.09668,0.16919,day_0
2,-0.16235,0.05835,0.24512,day_0
2,-0.53418,-0.67139,0.08594,day_0
2,0.04883,-0.28174,0.14038,day_0
2,-0.92627,-0.46045,0.18066,day_0
2,0.01367,0.32007,0.17139,day_0
2,1.18018,1.60791,-0.57861,day_0
2,2.6438,2.58569,-0.25049,day_0
2,1.56763,1.40332,-0.06152,day_0
2,1.35254,1.79517,-0.45654,day_0
2,0.59351,0.79565,0.03296,day_0
2,1.02563,1.69287,-0.27954,day_0
2,1.60303,3.1333,-0.65015,day_0
2,1.39429,3.1665,-0.74634,day_0
2,-0.2644,1.34155,-0.2876,day_0
2,-0.18872,-0.03394,0.16748,day_0
2,0.13696,-0.06519,0.27051,day_0
2,0.45483,0.01123,0.23462,day_0
2,0.52173,0.04053,0.05664,day_0
2,0.47461,-0.06226,0.38403,day_0
2,0.2417,-0.08203,0.29492,day_0
2,0.45435,-0.396,0.42822,day_0
2,-0.21265,-0.49609,-0.3291,day_0
2,1.34546,2.14526,-0.87085,day_0
2,1.45166,1.79321,-0.61182,day_0
2,2.17139,1.42725,-0.11792,day_0
2,1.66016,1.08716,-0.22266,day_0
2,0.99854,0.96948,-0.40503,day_0
2,0.89209,0.85449,0.13867,day_0
2,1.2041,1.91553,-0.6084,day_0
2,1.44653,2.96558,-1.45728,day_0
2,1.04028,2.75049,-1.26514,day_0
2,-0.56006,1.28906,-0.60449,day_0
2,-0.21191,0.06592,-0.3374,day_0
2,0.60059,-0.03662,0.43237,day_0
2,0.6604,-0.02905,0.14355,day_0
2,0.23218,0.00195,0.06494,day_0
2,0.37183,0.18799,0.08716,day_0
2,0.26025,0.2478,0.42944,day_0
2,0.00659,-0.56226,1.06958,day_0
2,-0.49683,-0.45215,-0.9458,day_0
2,1.84473,2.20239,-1.31323,day_0
2,1.52881,1.78491,-0.42627,day_0
2,1.76147,1.56519,-0.30396,day_0
2,1.48389,1.14282,-0.11133,day_0
2,0.96729,1.44189,-0.16016,day_0
2,0.75635,1.15991,-0.33472,day_0
2,1.15063,2.33496,-0.65967,day_0
2,1.95483,3.74219,-1.32373,day_0
2,0.09497,1.55786,-0.77344,day_0
2,-0.05493,-0.10107,-0.0874,day_0
2,0.34326,0.00049,0.22803,day_0
2,0.54053,0.02515,0.37231,day_0
2,0.83545,0.07056,0.3584,day_0
2,0.42383,-0.11206,0.1731,day_0
2,-0.16846,-0.27197,0.34009,day_0
2,0.26147,-0.54395,0.46924,day_0
2,-0.83057,-0.49341,-0.58105,day_0
2,1.4751,2.37134,-0.71777,day_0
2,1.56519,2.36743,-0.23804,day_0
2,1.73804,1.06934,-0.02515,day_0
2,1.71899,0.97461,-0.83911,day_0
2,0.72144,1.13843,0.02344,day_0
2,0.92651,1.22705,-0.04224,day_0
2,0.78467,1.46729,-0.30933,day_0
2,1.19971,2.44312,-1.28247,day_0
2,1.57642,3.06616,-1.69751,day_0
2,0.21558,1.99609,-0.92285,day_0
2,-0.91333,-0.27783,-0.13354,day_0
2,0.06494,-0.2019,0.20972,day_0
2,0.58789,0.09229,0.36865,day_0
2,0.63452,0.21899,0.68213,day_0
2,0.52026,0.44165,0.36621,day_0
2,0.81445,-0.19067,0.1936,day_0
2,0.08105,-0.3291,1.03003,day_0
2,-0.86523,-0.52612,-0.7002,day_0
2,3.23022,2.62036,-0.77197,day_0
2,1.92065,3.24536,-0.24976,day_0
2,1.08301,1.04053,0.33691,day_0
2,1.45166,1.03882,-0.22998,day_0
2,0.55566,0.802,-0.16064,day_0
2,0.94897,1.17676,-0.08179,day_0
2,1.08398,2.28101,-0.67285,day_0
2,1.51074,2.84863,-0.98535,day_0
2,1.33301,2.23315,-0.79248,day_0
2,-0.79468,0.74902,-0.32007,day_0
2,-0.59351,-0.18359,0.021,day_0
2,-0.06128,-0.28052,0.16553,day_0
2,0.38965,0.07593,0.25366,day_0
2,0.2666,0.15991,0.21216,day_0
2,0.36035,0.09204,0.17749,day_0
2,0.43262,0.19751,0.38623,day_0
2,0.26782,-0.13794,0.78638,day_0
2,-1.36255,-0.36792,-0.26636,day_0
2,1.31689,1.03076,-0.35474,day_0
2,2.1814,2.93384,-0.37671,day_0
2,1.74731,1.90039,-0.70044,day_0
2,2.20557,1.00464,-0.05981,day_0
2,0.74072,0.94702,-0.14429,day_0
2,0.83545,1.14063,-0.24023,day_0
2,1.10718,1.78857,-0.60645,day_0
2,1.51636,2.78223,-0.94092,day_0
2,1.62061,2.37378,-0.698,day_0
2,0.26465,0.88721,-0.31299,day_0
2,-0.81104,0.00562,-0.23657,day_0
2,0.4314,0.00952,0.40137,day_0
2,0.49658,0.27393,0.39648,day_0
2,0.36426,-0.01074,0.09229,day_0
2,0.3208,0.08472,0.29907,day_0
2,0.22559,0.02393,0.3606,day_0
2,0.23145,-0.37109,0.89087,day_0
2,-1.46167,-0.09375,-0.07813,day_0
2,3.14697,2.24634,-0.33374,day_0
2,1.93091,2.05444,-0.5708,day_0
2,1.82056,1.18628,-0.15747,day_0
2,2.54346,1.56934,-1.03149,day_0
2,0.55713,0.59644,0.09155,day_0
2,0.74194,0.88721,0.01855,day_0
2,1.39014,1.85962,-0.396,day_0
2,1.32227,2.51758,-1.27637,day_0
2,1.44141,2.27808,-1.01514,day_0
2,-1.23047,0.1626,-0.14404,day_0
2,-0.52612,-0.34766,0.15088,day_0
2,0.18042,-0.09106,0.25757,day_0
2,0.59644,0.21362,0.44604,day_0
2,0.25122,0.13062,0.08789,day_0
2,0.28687,0.14917,0.17041,day_0
2,0.20801,0.02905,0.27441,day_0
2,0.11743,-0.50195,0.77417,day_0
2,-0.91772,-0.69507,0.4126,day_0
2,2.29858,1.76416,-0.34839,day_0
2,2.00391,2.34424,-0.64526,day_0
2,2.07788,1.59399,-0.77075,day_0
2,2.52832,1.30225,-0.47485,day_0
2,0.67969,0.96729,-0.21118,day_0
2,0.78418,1.37573,-0.16357,day_0
2,1.32764,2.32861,-0.35889,day_0
2,1.44434,2.40796,-0.38281,day_0
2,0.81665,1.05151,-0.32104,day_0
2,-1.05566,-0.00732,-0.16602,day_0
2,-0.48193,-0.23584,0.29712,day_0
2,-0.39819,-0.43604,0.4187,day_0
2,0.02148,-0.03564,0.18848,day_0
2,0.19141,0.17383,0.21729,day_0
2,0.29248,0.03857,0.14746,day_0
2,0.4187,0.20044,0.1814,day_0
2,0.17944,0.04126,0.44409,day_0
2,-0.22778,-0.68359,0.75732,day_0
2,0.74805,-0.49902,-0.88403,day_0
2,1.95557,3.26147,-1.07007,day_0
2,1.23291,2.06299,-0.41675,day_0
2,2.09839,1.18896,0.18579,day_0
2,1.80688,1.17383,-0.99292,day_0
2,0.55566,0.32324,-0.0647,day_0
2,1.32959,0.9895,-0.22998,day_0
2,1.65942,2.55518,-1.23682,day_0
2,1.24756,2.25854,-1.23413,day_0
2,1.26392,1.43091,-0.35645,day_0
2,-0.54785,0.32251,-0.15869,day_0
2,-0.62207,-0.05859,0.1062,day_0
2,-0.16504,-0.24365,0.23657,day_0
2,0.26245,0.03247,0.28394,day_0
2,0.14307,0.06152,0.05908,day_0
2,0.25049,0.11938,0.19873,day_0
2,0.22534,0.17603,0.06079,day_0
2,-0.02002,-0.35181,0.52759,day_0
2,-0.71729,-0.43872,0.40649,day_0
2,0.86792,0.14648,-0.53418,day_0
2,1.66357,2.71069,-0.95947,day_0
